name,lat,lng,max_temp,percent_humidity,percent_cloudiness,wind_speed,current_description
hilo,19.7297,-155.09,299.15,57,75,4.63,broken clouds
axim,4.8699,-2.2405,299.61,86,63,3.84,broken clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
tasiilaq,65.6145,-37.6368,270.15,46,20,2.57,few clouds
kapaa,22.0752,-159.319,296.15,53,20,3.09,few clouds
srednekolymsk,67.45,153.6833,253.45,84,43,2.56,scattered clouds
castro,-24.7911,-50.0119,286.7,69,0,3.11,clear sky
nizhniy kuranakh,58.8353,125.4869,248.95,83,0,0.94,clear sky
thinadhoo,0.5333,72.9333,300.78,71,88,4.47,overcast clouds
port elizabeth,-33.918,25.5701,291.15,82,0,4.63,clear sky
quatre cocos,-20.2078,57.7625,299.15,83,40,2.57,scattered clouds
kapaa,22.0752,-159.319,296.15,53,20,3.09,few clouds
port hueneme,34.1478,-119.1951,286.15,87,40,1.54,scattered clouds
arraial do cabo,-22.9661,-42.0278,295.44,81,100,3.96,moderate rain
georgetown,5.4112,100.3354,301.15,78,20,1.03,few clouds
thompson,55.7435,-97.8558,240.15,68,75,6.69,snow
akdepe,42.0551,59.3788,277.15,87,0,2.06,clear sky
hobart,-42.8794,147.3294,290.93,51,75,5.66,broken clouds
puerto ayora,-0.7393,-90.3518,298.15,95,100,2.78,light rain
kapaa,22.0752,-159.319,296.15,53,20,3.09,few clouds
pimentel,-6.8367,-79.9342,294.26,88,97,0.89,overcast clouds
thompson,55.7435,-97.8558,240.15,68,75,6.69,snow
port alfred,-33.5906,26.891,290.93,95,95,1.34,overcast clouds
nikolskoye,59.7035,30.7861,264.15,86,75,3.0,broken clouds
east london,-33.0153,27.9116,294.64,83,90,4.17,light rain
ixtapa,20.7,-105.2,294.26,83,1,1.54,clear sky
kirkenaer,60.4564,12.0582,265.15,62,0,5.14,clear sky
thompson,55.7435,-97.8558,240.15,68,75,6.69,snow
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
bambous virieux,-20.3428,57.7575,299.15,83,40,2.57,scattered clouds
qaanaaq,77.484,-69.3632,264.87,85,100,3.0,overcast clouds
bredasdorp,-34.5322,20.0403,287.15,82,15,2.57,few clouds
trairi,-3.2778,-39.2689,299.2,85,21,3.36,few clouds
airai,-8.9266,125.4092,294.97,85,100,1.77,overcast clouds
souillac,-20.5167,57.5167,299.15,83,40,2.57,light rain
kodiak,57.79,-152.4072,274.15,69,1,2.76,clear sky
victoria,22.2855,114.1577,294.82,80,14,0.89,few clouds
hamilton,39.1834,-84.5333,266.15,45,90,2.06,overcast clouds
kapaa,22.0752,-159.319,296.15,53,20,3.09,few clouds
vysokogornyy,50.1167,139.15,252.96,87,100,4.66,overcast clouds
gao,16.6362,1.637,295.32,20,50,3.99,scattered clouds
esperance,-33.8667,121.9,299.15,53,0,9.26,clear sky
bubaque,11.2833,-15.8333,299.4,62,1,3.3,clear sky
castro,-24.7911,-50.0119,286.7,69,0,3.11,clear sky
santo tomas,14.1079,121.1414,303.15,62,40,3.6,scattered clouds
hermanus,-34.4187,19.2345,290.37,76,6,2.68,clear sky
pochutla,15.7432,-96.4661,299.15,73,40,4.12,scattered clouds
sao raimundo nonato,-9.0153,-42.6994,295.66,87,94,1.43,overcast clouds
qaanaaq,77.484,-69.3632,264.87,85,100,3.0,overcast clouds
kapaa,22.0752,-159.319,296.15,53,20,3.09,few clouds
tuktoyaktuk,69.4541,-133.0374,240.15,68,40,4.12,snow
port alfred,-33.5906,26.891,290.93,95,95,1.34,overcast clouds
hilo,19.7297,-155.09,299.15,57,75,4.63,broken clouds
new norfolk,-42.7826,147.0587,289.82,64,100,0.89,overcast clouds
carnarvon,-24.8667,113.6333,301.15,100,40,6.69,scattered clouds
ushuaia,-54.8,-68.3,283.15,81,75,2.06,broken clouds
victoria,22.2855,114.1577,294.82,80,14,0.89,few clouds
okhotsk,59.3833,143.3,265.1,89,100,9.61,overcast clouds
punta arenas,-53.15,-70.9167,290.15,42,75,3.6,broken clouds
new norfolk,-42.7826,147.0587,289.82,64,100,0.89,overcast clouds
belaya gora,68.5333,146.4167,243.0,86,90,1.32,overcast clouds
east london,-33.0153,27.9116,294.64,83,90,4.17,light rain
