City_ID,name,country,max_temp,current_description,lat,lng,Hotel Name
1650,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1668,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
1672,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
1674,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1685,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1689,nanakuli,us,77.0,clear sky,21.3906,-158.1547,Camp Pālehua
1695,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1697,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1700,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1706,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1708,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1711,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1713,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1718,mawlaik,mm,78.76,clear sky,23.6333,94.4167,AKZ Guest House
1719,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1722,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1732,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1736,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1742,san-pedro,ci,78.12,few clouds,4.7485,-6.6363,Hotel Maria
1753,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1769,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1781,pocri,pa,76.01,scattered clouds,8.2667,-80.55,Residencial D Cache
1787,mapastepec,mx,75.51,clear sky,15.4333,-92.9,Hotel San Carlos
1793,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1802,caravelas,br,75.94,light rain,-17.7125,-39.2481,Pousada dos Navegantes
1819,puerto ayacucho,ve,77.5,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
1820,victoria,sc,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
